Wall time,Step,Value
1770728084.4423373,107,-177.23509216308594
1770728107.7295942,110,-164.31597900390625
1770728134.3515928,114,-160.87191772460938
1770728154.1310542,117,-217.62600708007812
1770728176.021297,119,-191.05548095703125
1770728187.6955073,120,-173.78814697265625
1770728204.0761774,121,-189.29364013671875
1770728244.2052393,125,-164.94451904296875
1770728253.461727,126,-136.90667724609375
1770728263.593079,127,-162.2666778564453
1770728274.7850702,128,-202.89691162109375
1770728296.1516027,130,-209.78477478027344
1770728306.3982592,131,-213.48809814453125
1770728331.996069,134,-130.93577575683594
1770728362.5332928,137,-192.7292022705078
1770728373.3194573,138,-215.1973114013672
1770728394.4360502,140,-142.43955993652344
1770728430.7117732,142,-159.38497924804688
1770728440.8842683,143,-148.30413818359375
1770728451.6795855,144,-143.1824951171875
1770728461.9512703,145,-176.04244995117188
1770728473.247527,146,-155.23562622070312
1770728483.594208,147,-118.99702453613281
1770728505.0140479,149,-141.93096923828125
1770728514.8201454,150,-126.40058898925781
1770728525.293261,151,-88.73876190185547
1770728536.8007576,152,-132.81344604492188
1770728552.4736326,154,-160.1039276123047
1770728562.8880327,155,-107.71239471435547
1770728572.86586,156,-125.51441192626953
1770728584.4670732,158,-139.56314086914062
1770728589.2264168,159,-103.23931884765625
1770728597.4268727,160,-88.55956268310547
1770728750.4108074,162,-134.77223205566406
1770728758.2718759,163,-110.51704406738281
1770728780.1912498,165,-105.50753021240234
1770728791.4177437,166,-101.3948745727539
1770728813.1733773,168,-84.9007339477539
1770728823.7147598,169,-61.14906692504883
1770728833.0864851,170,-71.2340316772461
1770728845.0519717,172,-52.90616226196289
1770728873.7454307,176,-25.670927047729492
1770728876.1109226,177,-14.781062126159668
1770728878.3522696,178,-17.295278549194336
1770728880.5841062,179,-36.58217239379883
1770728914.4176102,181,-24.742557525634766
1770728922.9479382,182,-7.491995334625244
1770728944.3444388,184,-6.864438533782959
1770728966.107347,186,22.58481788635254
1770728976.632498,187,31.654348373413086
1770728983.1393654,188,21.586376190185547
1770728993.5901744,189,-27.81066131591797
1770729015.388661,191,-39.07889175415039
1770729026.8331103,192,-37.652854919433594
1770729093.3823967,199,84.62687683105469
1770729163.141643,203,39.69270706176758
1770729187.8285565,206,93.80438232421875
1770729195.5666296,207,97.66956329345703
1770729206.4552698,208,136.8738250732422
1770729216.816929,209,8.705720901489258
1770729254.2265623,213,11.231401443481445
1770729265.1397562,214,-8.417769432067871
1770729275.4297564,215,33.13965606689453
1770729286.3297782,216,72.98918914794922
1770729317.853584,219,-39.864383697509766
1770729328.6654043,220,-0.6650488376617432
1770729375.684595,221,-27.149145126342773
1770729386.3594303,222,-35.49683380126953
1770729396.6820443,223,-59.80549621582031
1770729407.9447553,224,-33.15740203857422
1770729426.607439,226,-52.68620300292969
1770729436.7501547,227,-22.39397430419922
1770729447.6549423,228,-33.05725860595703
1770729466.4460075,230,-8.31952953338623
1770729474.3464985,231,-3.6796438694000244
1770729482.7196996,232,-24.611215591430664
1770729489.660814,233,-25.138641357421875
1770729500.9997618,234,-20.651378631591797
1770729507.8883889,235,1.9234981536865234
1770729532.5220568,238,19.981809616088867
1770729542.6635516,239,-41.77708053588867
1770729571.1346412,241,-23.071243286132812
1770729607.3663394,245,41.454322814941406
1770729617.70315,246,53.15095520019531
1770729638.7481256,248,38.13739776611328
1770729648.8880873,249,-10.592291831970215
1770729656.1100602,250,73.55781555175781
1770729662.6303182,251,39.28182601928711
1770729673.5103095,252,54.4987678527832
1770729680.8394961,253,70.20182800292969
1770729699.9762769,256,119.21893310546875
1770729716.375919,259,52.12539291381836
1770729721.5140543,260,68.69351196289062
1770729737.5791914,261,99.4172592163086
1770729743.9485474,262,127.39192199707031
1770729757.9444559,264,92.93256378173828
1770729784.8260117,268,69.86494445800781
1770729799.180657,270,39.04673385620117
1770729812.7940984,272,69.75004577636719
1770729820.2349622,273,40.78019714355469
1770729826.8186831,274,3.424450635910034
1770729834.5791242,275,55.99097442626953
1770729842.3657205,276,107.32086944580078
1770729859.015193,278,33.76165008544922
1770729863.9476275,279,1.1631766557693481
1770729888.1907358,281,9.25220012664795
1770729901.6148705,283,49.95833206176758
1770729912.4818075,285,89.31649017333984
1770729945.996812,290,35.12476348876953
1770729962.6432693,292,124.09249877929688
1770729966.8146107,293,10.325918197631836
1770729981.7635555,295,51.89656066894531
1770729987.4254959,296,80.55765533447266
1770729993.3673444,297,70.45930480957031
1770730000.8763561,298,42.89008331298828
1770730004.2172968,299,60.41291427612305
1770730009.9843614,300,42.3365478515625
1770730035.2051675,301,84.21742248535156
1770730040.2039418,302,61.30552291870117
1770730045.0428035,303,72.81916809082031
1770730049.8200421,304,93.69430541992188
1770730074.358933,308,151.62774658203125
1770730077.612971,309,107.29122924804688
1770730090.0271285,311,74.0311279296875
1770730110.2974174,314,84.79615783691406
1770730134.425163,318,155.95492553710938
1770730140.5010319,319,89.44908905029297
1770730145.7786868,320,127.34454345703125
1770730169.0035112,321,128.56475830078125
1770730179.3862321,323,68.88115692138672
1770730189.1036422,324,32.40108108520508
1770730192.6434548,325,119.69248962402344
1770730196.21502,326,95.84833526611328
1770730203.4019394,327,97.42769622802734
1770730208.1374085,328,37.39963150024414
1770730220.8077896,331,183.4894561767578
1770730225.8144875,332,129.0746307373047
1770730234.9668145,334,96.5544204711914
1770730241.7801554,336,78.65482330322266
1770730253.3358545,338,104.94465637207031
1770730271.3477104,340,39.66515350341797
1770730299.2954993,342,96.85369873046875
1770730302.0204375,343,179.3646697998047
1770730305.523632,344,99.04399871826172
1770730312.5055695,345,57.903324127197266
1770730324.1399782,346,106.95623779296875
1770730330.6275227,347,153.0020751953125
1770730335.7995002,348,142.7278594970703
1770730338.5639684,349,137.8630828857422
1770730342.9551408,350,160.581298828125
1770730355.8896384,352,98.80514526367188
1770730365.5745907,354,158.76622009277344
1770730370.2551231,355,148.72769165039062
1770730383.5083582,357,119.39955139160156
1770730399.195258,359,147.9127197265625
1770730403.9635904,360,120.86628723144531
1770730430.8857014,361,215.45697021484375
1770730438.7157238,362,211.1795654296875
1770730441.7554536,363,236.7021484375
1770730444.7336526,364,221.655517578125
1770730447.8647854,365,247.47479248046875
1770730452.5662363,366,226.03903198242188
1770730459.2228568,367,217.1457061767578
1770730463.730694,368,220.8797149658203
1770730467.260125,369,210.9613800048828
1770730473.9694545,371,213.4256134033203
1770730478.1724722,372,222.47689819335938
1770730489.3396764,374,218.40264892578125
1770730496.910107,376,172.2939910888672
1770730500.3552773,377,192.14852905273438
1770730503.9892657,378,168.12608337402344
1770730506.1464164,379,168.7684326171875
1770730515.4224243,380,191.43212890625
1770730543.680858,382,201.83689880371094
1770730547.2405665,383,166.05584716796875
1770730554.191466,385,234.87008666992188
1770730560.2389174,386,153.11251831054688
1770730563.9947803,387,173.9435577392578
1770730569.254672,388,181.1678009033203
1770730572.7271345,389,159.9742431640625
1770730582.0828295,391,148.4171600341797
1770730585.631329,392,144.40435791015625
1770730588.653077,393,106.09104919433594
1770730596.9158916,394,133.17861938476562
1770730624.4231336,399,98.85171508789062
1770730628.0143073,400,200.48948669433594
1770730670.513099,403,-231.2032928466797
1770730678.5018365,404,-214.09719848632812
1770730699.6203644,406,-174.28579711914062
1770730707.2333305,407,-193.9698486328125
1770730726.2922845,409,-210.85443115234375
1770730745.637484,411,-172.57579040527344
1770730798.9435596,416,-127.88471221923828
1770730809.2281077,417,-134.365478515625
1770730833.5941913,420,-140.21336364746094
1770730847.2262394,421,-120.7060317993164
1770730855.1543245,422,-130.32701110839844
1770730865.4744625,423,-161.2292938232422
1770730877.1865184,424,-118.95613861083984
1770730886.7673292,425,-125.9242172241211
1770730903.8732555,427,-125.68563842773438
1770730919.3752031,429,-98.58914184570312
1770730939.338352,431,-90.2334213256836
1770730961.5146477,433,-86.6991195678711
1770730989.582054,436,-88.69002532958984
1770730994.6150138,437,-66.91700744628906
1770731016.7965982,440,-74.29774475097656
1770731043.4138937,441,-81.69557189941406
1770731048.8944204,442,-76.64262390136719
1770731059.3429623,443,-80.24008178710938
1770731069.624281,445,-46.57109069824219
1770731076.111806,446,-49.20956802368164
1770731100.8915043,449,-48.65818786621094
1770731112.485877,450,-69.99957275390625
1770731122.4327831,452,-33.391929626464844
1770731141.6864552,455,-12.39389705657959
1770731164.0537286,458,-12.058168411254883
1770731173.5381556,459,-33.56034851074219
1770731181.7106643,460,-21.652257919311523
1770731201.5588477,461,-21.091861724853516
1770731209.1283653,462,-41.812686920166016
1770731225.5416863,464,-15.073050498962402
1770731232.6777575,465,-13.094297409057617
1770731243.765411,466,-24.18960189819336
1770731253.94276,467,-7.181574821472168
1770731264.7457392,468,16.665775299072266
1770731270.833613,469,46.80390167236328
1770731281.664213,470,23.755584716796875
1770731299.1137917,472,40.73789596557617
1770731318.794696,474,20.960004806518555
1770731329.33268,475,23.13384437561035
1770731361.505889,478,43.110557556152344
1770731372.45033,479,55.6929817199707
1770731544.2089076,483,36.93099594116211
1770731569.728933,486,68.01984405517578
