Wall time,Step,Value
1770715887.675297,4,-69.65491485595703
1770715891.1308215,6,-91.81063842773438
1770715893.6455412,7,-69.0185317993164
1770715901.6595922,9,-78.90825653076172
1770715970.814367,11,-4.899196624755859
1770715974.5304763,12,-23.875822067260742
1770715976.4963002,13,-15.548006057739258
1770715979.5319831,14,37.965660095214844
1770715981.56532,15,21.727819442749023
1770715984.8115153,16,-10.438758850097656
1770715988.4422293,17,27.89395523071289
1770715993.0570076,18,-23.26476287841797
1770715993.9299152,19,69.58004760742188
1770715996.3788536,20,76.51952362060547
1770715999.8457267,21,116.73841857910156
1770716004.463852,23,112.46688079833984
1770716008.1354187,25,117.28633117675781
1770716010.9492283,26,95.88545989990234
1770716031.104023,31,67.63636779785156
1770716035.1988301,32,145.293701171875
1770716035.7917037,33,173.5038299560547
1770716037.5083618,34,152.80064392089844
1770716038.128509,35,106.4931869506836
1770716042.1564806,37,122.02670288085938
1770716047.3813102,40,85.99845123291016
1770716051.5314415,41,177.13519287109375
1770716056.4825802,43,78.30099487304688
1770716058.9854505,44,136.4636688232422
1770716060.3467093,45,178.34146118164062
1770716061.3879075,46,159.89675903320312
1770716066.4631622,48,150.0718231201172
1770716070.6390824,50,131.43411254882812
1770716083.635782,51,90.10281372070312
1770716086.509242,54,176.9059295654297
1770716088.4235072,55,231.2672576904297
1770716089.391755,56,191.43402099609375
1770716090.6761508,57,213.71034240722656
1770716092.0887818,58,175.82342529296875
1770716096.925814,61,228.6925048828125
1770716098.7799866,62,210.8655242919922
1770716102.988201,64,176.8916015625
1770716106.5956082,65,197.09002685546875
1770716109.4465334,66,176.57919311523438
1770716110.6780996,67,164.29798889160156
1770716113.1304212,68,172.31356811523438
1770716115.6798139,69,180.37066650390625
1770716117.6335282,70,199.44717407226562
1770716128.6344826,72,220.70565795898438
1770716129.5836768,73,196.58767700195312
1770716131.5889056,74,213.1909942626953
1770716132.8377755,75,217.81082153320312
1770716134.6912856,77,213.70114135742188
1770716139.6013322,79,160.014404296875
1770716140.9649377,80,197.512451171875
1770716150.2880013,82,199.9810028076172
1770716153.5093226,83,189.2238311767578
1770716156.1924295,85,193.480224609375
1770716157.2677386,86,209.0464630126953
1770716157.980255,87,132.4795379638672
1770716159.1631925,88,182.6301727294922
1770716160.0925117,89,212.87088012695312
1770716161.680707,90,138.08078002929688
1770716165.1705556,92,192.61375427246094
1770716165.9953017,93,165.3260955810547
1770716167.1913106,94,113.1053237915039
1770716167.9369624,95,211.153076171875
1770716172.252762,100,212.0459747314453
1770716177.3283298,101,-153.97071838378906
1770716186.290488,103,-215.33975219726562
1770716194.840598,105,-144.5418243408203
1770716199.7837772,106,-143.2763671875
1770716203.005246,107,-133.06063842773438
1770716216.13128,110,-115.80574035644531
1770716279.563134,114,-60.9656867980957
1770716289.7967336,117,27.72782325744629
1770716297.036945,119,-16.68112564086914
1770716301.089508,120,34.51409149169922
1770716316.4211836,121,52.423763275146484
1770716327.1779945,125,52.12386703491211
1770716330.3266919,126,146.5189971923828
1770716332.1245115,127,5.23164176940918
1770716337.0664809,128,75.9351577758789
1770716343.1480868,130,20.761716842651367
1770716366.0314348,131,11.657917976379395
1770716376.453212,134,71.3763198852539
1770716386.8289344,137,91.9869155883789
1770716389.9997745,138,-9.189494132995605
1770716395.6465821,140,50.82242965698242
1770716421.7315984,142,46.47849655151367
1770716424.8856566,143,80.6805419921875
1770716429.2454636,144,113.07787322998047
1770716431.0838451,145,88.23596954345703
1770716435.6459854,146,76.9166030883789
1770716437.8150837,147,146.69374084472656
1770716444.680295,149,39.9312858581543
1770716448.8645198,150,73.27964782714844
1770716457.3023958,151,150.62843322753906
1770716461.4729588,152,123.12110900878906
1770716469.0416124,154,5.558292388916016
1770716472.6213472,155,58.33170700073242
1770716474.545179,156,192.11329650878906
1770716478.2486055,158,98.41242980957031
1770716480.0635762,159,128.2196807861328
1770716484.5880947,160,116.09211730957031
1770716493.396669,162,153.735107421875
1770716494.1540518,163,131.20973205566406
1770716499.0597196,165,76.15736389160156
1770716503.2287343,166,150.9995574951172
1770716507.554648,168,165.0485076904297
1770716508.2808466,169,144.98880004882812
1770716511.4304504,170,145.10208129882812
1770716520.4046955,172,152.37750244140625
1770716526.2479482,176,174.8717498779297
1770716528.4503279,177,185.8318328857422
1770716533.0266929,178,93.12142944335938
1770716535.287121,179,142.6004638671875
1770716542.868629,181,223.42825317382812
1770716547.1322212,182,141.70652770996094
1770716552.5702083,184,171.9581298828125
1770716555.922049,186,155.95895385742188
1770716557.8236473,187,105.20515441894531
1770716560.6843128,188,142.62254333496094
1770716561.5617232,189,189.10226440429688
1770716568.4612584,191,189.7946319580078
1770716569.7888646,192,150.18336486816406
1770716584.3839455,199,209.31594848632812
1770716602.232033,203,177.0651397705078
1770716607.1744192,206,207.2350616455078
1770716608.6510243,207,244.15890502929688
1770716610.2193942,208,180.12794494628906
1770716611.343469,209,227.67477416992188
1770716619.804703,213,214.1507568359375
1770716621.2851627,214,224.87261962890625
1770716622.4035468,215,210.0640411376953
1770716624.4006853,216,161.197265625
1770716630.4601996,219,136.18296813964844
1770716631.577643,220,142.44517517089844
1770716636.0039873,221,163.71246337890625
1770716637.0313265,222,172.67129516601562
1770716637.9812987,223,165.13424682617188
1770716639.4808238,224,186.60108947753906
1770716641.7827928,226,166.50425720214844
1770716643.5507395,227,137.78732299804688
1770716645.2502317,228,210.21051025390625
1770716647.2798305,230,193.6053924560547
1770716651.8252203,231,175.3136444091797
1770716652.8629167,232,209.242919921875
1770716653.6500757,233,192.0386962890625
1770716654.8123863,234,166.96165466308594
1770716655.495667,235,212.3133544921875
1770716659.1696198,238,178.9323272705078
1770716659.787098,239,196.66737365722656
1770716665.2698336,241,205.92649841308594
1770716670.533037,245,137.0030975341797
1770716672.8294332,246,228.08041381835938
1770716676.8715136,248,121.35612487792969
1770716678.6598809,249,138.76043701171875
1770716680.0480845,250,112.97332000732422
1770716684.758859,251,212.48280334472656
1770716686.6899648,252,225.63426208496094
1770716687.5083296,253,193.4263916015625
1770716692.0828185,256,210.57876586914062
1770716694.3868437,259,228.8487548828125
1770716695.8055096,260,170.7279052734375
1770716699.971267,261,177.7122039794922
1770716701.757394,262,160.3323211669922
1770716703.6037555,264,229.6442108154297
1770716706.9680343,268,201.03201293945312
1770716709.1206472,270,210.07789611816406
1770716714.3505805,272,244.68760681152344
1770716715.058649,273,230.73634338378906
1770716716.1007156,274,196.02597045898438
1770716717.5908172,275,211.84506225585938
1770716721.0496542,276,170.89328002929688
1770716722.8493798,278,156.3826141357422
1770716723.624187,279,209.32125854492188
1770716730.640798,281,213.65203857421875
1770716732.2570539,283,193.03358459472656
1770716735.3385773,285,163.4989013671875
1770716741.167024,290,175.6262664794922
1770716746.8008635,292,175.28102111816406
1770716747.533658,293,210.5405731201172
1770716750.0003643,295,227.02444458007812
1770716751.2878282,296,246.20779418945312
1770716752.1128688,297,211.31906127929688
1770716753.078812,298,210.36587524414062
1770716753.6120548,299,198.84951782226562
1770716754.8451178,300,206.78587341308594
1770716768.3579862,301,228.74212646484375
1770716771.9548142,302,176.2663116455078
1770716774.0580332,303,208.62379455566406
1770716777.016322,304,212.6416473388672
